MC_Sample,Year1_State,Year2_State,Year3_State,Year4_State
0,2003,2023,2003,2015
1,2003,1999,2003,2004
2,2002,2012,1999,2006
3,2022,2008,2009,2014
4,2006,2019,2003,2021
5,2006,1999,2005,1999
6,2008,2020,2001,2011
7,2004,2023,2003,1999
8,2017,2005,2000,2023
9,1999,2003,2017,2006
10,2006,2002,1999,2009
11,2003,2015,2012,2007
12,2003,2014,1998,2007
13,2001,2006,2000,2015
14,2019,2022,1998,2015
15,2017,2016,1999,2012
16,2019,2004,2007,2021
17,2002,2022,2020,2004
18,2000,2015,1999,1999
19,2003,2006,2003,2001
20,1999,2001,2019,2017
21,2004,2021,2010,2007
22,2017,2003,2021,2021
23,2000,2019,1999,2004
24,2021,2003,2018,2023
25,2003,2010,2000,2018
26,2017,2019,2011,2020
27,2004,2012,2007,2000
28,2006,2011,2004,2019
29,2004,2019,1998,2003
30,2001,2001,2019,2013
31,2019,2000,2019,2022
32,2022,2005,2010,1998
33,2000,1998,2003,2023
34,2006,2007,2001,2014
35,2023,2011,2007,2017
36,2006,2006,2003,2023
37,2010,2003,2003,2001
38,2002,2017,1999,2000
39,2004,2021,2015,2007
40,2006,2003,2017,2005
41,2006,2008,2003,2000
42,2018,2009,1998,2003
43,2020,2010,2011,2007
44,2000,2023,2004,1999
45,1998,2005,2023,2021
46,2009,2019,2018,2008
47,2003,2022,2011,2015
48,2012,2004,1999,2006
49,2007,1999,2007,2019
50,2003,2020,2021,2018
51,2006,2015,2007,2022
52,2004,2011,2001,2021
53,1998,2022,2017,2004
54,2006,2010,2002,2002
55,2005,2021,2008,2009
56,1998,1999,2008,2012
57,2022,2018,2007,2000
58,1999,2006,2019,2000
59,1998,1998,2021,2007
60,2006,2018,2007,2022
61,1998,2005,2019,1999
62,2017,2019,1999,2011
63,2013,2008,2006,2012
64,1999,2003,2012,2004
65,2006,2003,2008,2001
66,1999,2019,2012,2018
67,2010,2012,2022,2004
68,2021,2004,2017,2000
69,2005,2014,2010,2000
70,1999,2012,2017,2000
71,2016,2003,2010,1999
72,1998,2009,2010,2004
73,2011,2021,2006,2002
74,2005,2004,2020,2006
75,2023,2022,2012,2004
76,2003,2011,2007,2021
77,2019,2020,2010,2023
78,2011,2008,2007,2015
79,2003,2006,2008,2014
80,2009,2011,2013,2001
81,2018,2005,1999,2003
82,2007,2005,2022,2000
83,2006,2007,2003,2014
84,2023,1999,1999,2014
85,2012,2019,2000,2021
86,2017,2009,2004,1998
87,2007,1999,2002,2003
88,1998,2007,2000,2022
89,2011,2017,2017,2010
90,2021,2020,2022,2003
91,2018,2007,2004,1999
92,2006,2019,1999,2010
93,2003,2018,2000,1999
94,2022,2003,2014,2010
95,2019,2010,2004,1998
96,2019,2007,2020,2000
97,2016,2001,2021,2000
98,2006,2012,2007,2021
99,1999,2023,2019,2001
0,1999,2005,1999,2021
1,2003,1999,2003,2004
2,1999,2003,2014,2010
3,1999,2018,2007,2012
4,1998,2006,2018,2007
5,1998,1999,2000,1999
6,2020,2020,2020,2022
7,2003,2010,2003,2010
8,2017,2004,2003,2011
9,1999,1999,2017,2006
10,1998,2012,2017,2011
11,2003,2001,2004,2007
12,2000,2012,2023,2007
13,2010,1998,1999,2009
14,2003,2003,2012,2009
15,2017,2009,2000,2007
16,1999,2020,2012,2015
17,2022,2012,2008,2010
18,1998,2002,2018,2011
19,1999,2019,2022,2021
20,2000,2002,2016,2006
21,2012,2021,2018,2000
22,2006,1998,2007,2001
23,2004,1998,1999,2003
24,2020,2023,2012,2017
25,2004,2022,2004,2013
26,2017,2023,1998,2004
27,2007,2000,2010,2014
28,1998,2023,2004,2011
29,1999,1998,2017,2012
30,2020,2001,2019,2018
31,1998,2019,2003,2008
32,2015,2022,2003,2003
33,2003,2006,2004,2023
34,1998,2007,2003,2010
35,1998,1998,2014,2017
36,1998,2006,2001,2018
37,2010,2003,1999,2020
38,1999,2017,2006,2011
39,2012,2021,2015,2015
40,2006,2003,2017,2005
41,1998,2007,2003,2003
42,1999,1999,2004,2008
43,2004,1999,2003,2001
44,2007,2019,1999,2002
45,2011,2005,2011,2021
46,2003,2019,2012,2015
47,2023,2004,1998,2014
48,1999,2007,2000,2003
49,2022,1999,2004,1999
50,1999,2018,2021,2003
51,2011,2021,2001,2007
52,2019,2019,2012,2014
53,1998,2012,2017,2004
54,1998,2019,2003,2000
55,2003,2021,2021,2018
56,2019,2011,2014,2007
57,2003,2010,2001,2015
58,2019,2023,1999,2004
59,2023,2006,2014,2005
60,2017,2018,2015,2019
61,2019,2000,1999,2003
62,2006,1999,1999,2003
63,2009,2003,2000,2007
64,1999,2003,2013,2004
65,2006,1999,2021,1999
66,2004,2011,2001,2007
67,2019,2008,2004,1999
68,2015,1999,2006,1999
69,2005,2014,2010,2004
70,2011,2018,2017,2007
71,2012,2022,2005,2004
72,2006,2004,2003,2001
73,2019,2007,2002,2003
74,2004,1998,2015,2006
75,1998,2005,2004,2003
76,2003,1999,2003,2015
77,2019,2001,2018,2023
78,2011,2010,2000,2010
79,2003,2006,2015,2021
80,2018,1998,2018,2012
81,2009,2004,2011,1999
82,2018,2001,2000,2019
83,2017,2007,2003,2015
84,1998,1999,2005,2012
85,2012,2019,2004,2021
86,2017,2012,2018,1998
87,2018,1999,2005,2005
88,2011,2000,2014,2007
89,2019,2017,2017,2018
90,2012,2010,2003,2006
91,2004,2015,2000,2010
92,2017,2010,2007,2009
93,2000,2002,2004,1999
94,1999,2006,2007,2020
95,1998,2003,2008,2006
96,2019,1999,2005,2004
97,2002,2011,2014,2019
98,2017,2012,2003,2009
99,1999,2019,2019,2015
0,2003,2011,2003,2021
1,2004,2004,2004,2018
2,2011,2007,2005,2017
3,2018,2022,2015,2000
4,2006,2006,1998,2007
5,2006,1999,2003,1999
6,2007,2007,2008,2011
7,2000,1998,1999,2019
8,2006,2010,2016,2011
9,1999,1999,2017,2006
10,1998,2007,1999,2022
11,2003,2008,2023,2003
12,2003,2002,2011,2003
13,2006,2003,2004,2015
14,2004,2005,2007,2007
15,2017,2002,2005,2008
16,1999,2005,2021,2010
17,2010,2010,2002,2003
18,1998,2016,2009,2004
19,1999,1999,2012,2021
20,1999,2014,2019,2017
21,2007,2021,1998,2004
22,2006,2003,2014,2021
23,2004,2011,2019,2004
24,2007,1998,1999,2017
25,2005,2001,2000,2007
26,2017,2019,2005,2007
27,2007,2003,2010,2014
28,1998,1998,2018,2019
29,1999,2023,2017,2005
30,2020,2021,2019,2010
31,1999,2018,2011,2007
32,2001,2003,2020,1998
33,1998,1999,1999,2003
34,1998,2007,2000,2018
35,1998,1998,2021,2017
36,2006,2017,2008,2010
37,2014,1999,2010,2007
38,2012,2017,2019,2004
39,2003,2001,2018,2018
40,2006,2000,2017,2018
41,1998,2001,2018,2010
42,2003,2003,2009,2014
43,2000,2019,2003,2008
44,1999,1998,1998,2007
45,1998,2012,2006,2014
46,1999,1999,2019,2018
47,2019,2009,2023,2014
48,2004,2009,2019,2019
49,2004,2012,2003,2019
50,2004,2007,2014,2000
51,2011,2021,2015,2007
52,1998,1998,2015,2021
53,2019,2007,2017,2018
54,1998,2019,2003,2000
55,2003,2014,2022,2008
56,1998,2019,2000,2002
57,2019,2001,2003,1999
58,2003,2011,2000,2011
59,1998,2006,2014,2010
60,1998,1999,2018,2003
61,2006,2012,2018,2010
62,2017,2004,2022,2010
63,1999,2019,2019,2012
64,2003,2005,2007,2010
65,2006,2006,2021,2018
66,2004,2003,2004,2000
67,2019,2007,2020,2018
68,2007,1999,2017,2023
69,2004,2015,2000,2004
70,2019,2022,2006,2020
71,1999,2022,2005,2004
72,2006,2008,2007,1999
73,1999,2021,1998,2007
74,1999,2019,2009,2019
75,2023,2012,2007,2004
76,2005,2019,2000,2014
77,1999,2014,2002,2019
78,2019,2004,2008,2010
79,1999,2006,2001,2014
80,2007,1999,2020,2004
81,2003,2007,1999,2004
82,2010,2019,2015,2017
83,2017,2022,2012,2021
84,1998,2019,1999,2015
85,2019,1998,2007,2018
86,2017,2007,2009,1998
87,2010,2005,2004,2005
88,1998,2007,1999,2007
89,2003,2017,2006,2018
90,2003,2011,2009,1999
91,2003,2014,1999,2004
92,2017,2022,2001,1999
93,2004,2008,2009,2003
94,2004,2002,2003,2014
95,2019,2018,2000,2006
96,1999,2005,2004,2018
97,2003,2007,2021,2003
98,2017,2009,2007,2014
99,2019,2023,1998,2001
0,2003,2011,2003,2012
1,2003,2003,2003,2004
2,2003,2003,2014,2019
3,2001,2005,2015,2000
4,1998,2006,1998,2012
5,2000,2019,1999,2011
6,2020,2007,2020,2022
7,2000,1998,2004,1999
8,2017,2010,2018,2019
9,2004,2019,2019,2019
10,1998,2012,2017,2019
11,2005,2014,2011,2003
12,2003,2013,2023,2008
13,2019,2017,2009,2015
14,2012,2003,2023,2007
15,1999,2010,2003,2007
16,2004,2020,2003,2008
17,2015,2022,2014,2005
18,2023,2009,2001,2003
19,2003,2017,2003,2008
20,1999,2015,2011,2017
21,2009,2014,2023,1999
22,2006,1998,2001,2015
23,2005,2023,2019,2003
24,2007,2005,2003,2006
25,2008,2012,2012,2009
26,2017,2019,1999,2020
27,2001,2007,2008,2003
28,2003,2000,1998,2022
29,2007,2018,2017,2008
30,2007,2021,2018,2015
31,2010,2012,2006,2015
32,2002,1999,2004,2023
33,2009,2006,2007,2023
34,2003,2019,2007,2001
35,2011,2019,2001,2017
36,1998,2006,2001,2009
37,2004,2019,1999,2014
38,2022,2017,1999,2004
39,2009,2021,2014,2020
40,2006,1999,2017,2005
41,2011,2014,2018,2012
42,2018,2002,2006,1999
43,2004,1999,2003,2001
44,2007,2019,1999,2007
45,1998,1999,2009,2004
46,2003,2003,2007,2018
47,2012,2014,2018,2000
48,2005,2000,1998,2023
49,2018,2005,2004,1999
50,2000,2014,2021,2009
51,2019,2021,2014,2007
52,2019,2006,2018,2014
53,1999,2005,1999,2006
54,2006,1998,2003,1999
55,2000,2014,2008,2001
56,2003,2017,2007,2015
57,2003,2009,2015,2000
58,2022,1998,1999,2000
59,2011,2023,2021,2022
60,2004,2019,2010,1999
61,2003,1999,2005,2019
62,2006,1999,2000,2003
63,2007,2010,1998,2005
64,1999,2005,2010,2002
65,1998,2000,2014,2003
66,2008,2018,1999,1999
67,1999,2007,2008,2022
68,2001,1999,2017,1999
69,1999,2020,2005,1999
70,2000,2012,2019,2003
71,2005,2003,2018,1999
72,2006,2000,2003,2001
73,1999,2021,2011,2004
74,2003,2004,2007,2006
75,1998,2004,2018,2004
76,2003,2019,2005,2014
77,2023,2001,2018,2004
78,2022,2018,2004,2022
79,2003,2006,2020,2014
80,1999,2011,2015,2019
81,2015,2004,2003,2019
82,2021,1999,2015,2017
83,2019,2021,2019,2021
84,2010,2011,2019,2015
85,2018,2011,2005,2021
86,1998,2022,2008,2006
87,2012,1998,2012,2019
88,2019,2004,2014,2008
89,1998,2017,2017,2003
90,2012,2012,1999,2006
91,2000,2022,2000,2022
92,2006,1998,2003,2010
93,2016,2007,2004,2019
94,2012,2003,2014,2018
95,2005,2007,2003,2019
96,2019,1999,2003,2004
97,2003,2001,2021,2004
98,2017,2010,2007,2014
99,2018,2003,2000,2011
0,2000,2019,2000,2015
1,2000,2022,2005,2020
2,2022,2012,2009,2006
3,2018,2012,2018,2020
4,2006,2006,2000,2022
5,2006,1999,2003,1999
6,2008,2007,2001,2022
7,1999,2009,2007,2019
8,1998,2012,2007,2010
9,2003,2015,2006,2006
10,1998,2012,2003,2011
11,2005,2014,2011,2003
12,2020,2014,2010,2003
13,2007,2023,2003,2007
14,2012,2022,1998,2015
15,1999,2015,2009,1999
16,1999,2010,2021,2022
17,2012,2022,2007,2005
18,2006,2004,2007,2002
19,1999,2006,2019,2009
20,1999,2018,2019,2017
21,2007,2021,2011,2004
22,2023,2019,2021,2021
23,1999,1998,1999,1999
24,2007,2003,2003,1998
25,2005,2014,2005,2009
26,2017,1998,2011,2015
27,2014,2012,2015,2010
28,1998,2011,2022,2019
29,1999,2019,2017,2008
30,2015,2015,2011,2010
31,1999,2000,2019,2021
32,2014,2012,2014,2018
33,1999,2005,2005,2010
34,1998,2012,2004,2015
35,2023,2019,2007,2017
36,1998,2006,2009,2023
37,2022,1999,1999,2007
38,2012,2017,2019,2004
39,2003,2014,2012,2018
40,2023,2018,2006,2012
41,2006,2001,2010,2012
42,1999,1999,2004,2008
43,2000,2003,2009,2004
44,2009,2011,1999,2007
45,1998,2022,1998,2014
46,2005,2000,2003,2007
47,2018,2014,2018,2005
48,1999,2004,1998,2006
49,2022,1999,2004,1999
50,1999,2018,2021,1999
51,2004,2010,2005,2003
52,2019,2003,2009,2021
53,1999,2007,2017,2022
54,2003,2000,2012,2012
55,1999,2021,2014,2009
56,2011,2011,2004,2007
57,2005,2001,2010,2004
58,2003,1998,2003,2004
59,2019,2019,2020,2001
60,2017,2009,2018,2007
61,2006,2020,2012,2019
62,2006,1999,1999,2023
63,2021,2018,2019,2005
64,2003,2003,2022,2018
65,2006,2005,2015,2020
66,1999,1999,2015,2007
67,1999,2007,2005,2011
68,2004,2023,1999,2000
69,2019,2008,2003,2019
70,2019,2018,2006,2007
71,2000,2000,2009,1999
72,2006,2007,2003,2012
73,2010,2012,2016,2009
74,2003,2009,2012,2006
75,2023,2012,2007,2004
76,2003,2019,2003,2014
77,2010,2003,1998,2003
78,2019,2009,2010,2002
79,2003,2006,2020,2021
80,2018,2023,2009,2008
81,2010,2007,2010,2022
82,2012,2003,2014,2017
83,2006,2007,2003,2014
84,2006,2018,2018,2000
85,2002,2019,2000,2021
86,2003,2021,2015,2003
87,2007,2009,2012,2018
88,2019,2007,2009,2012
89,2011,2017,2017,2018
90,2007,2022,2003,2017
91,2018,2020,2018,1999
92,2017,1999,2010,1999
93,2010,2007,2018,2005
94,2004,2019,2001,2003
95,2011,2004,2005,2018
96,2019,2007,2008,2004
97,1999,2007,2007,2017
98,2006,2020,2005,2022
99,2003,2011,2011,2015
0,2007,2010,2007,2012
1,2001,1999,2007,2001
2,2007,1999,2014,2003
3,2004,2007,2004,2015
4,2004,2006,2018,2007
5,1999,1999,2003,2019
6,2021,2021,2003,2011
7,2008,2006,2003,2019
8,2010,2005,2000,2019
9,2018,2019,2019,2019
10,1999,1999,2023,2019
11,2012,2004,1998,2003
12,2008,2014,2023,1999
13,2004,2006,2019,2009
14,2015,1999,2018,2018
15,2017,2009,2004,2000
16,2009,2014,2013,2014
17,2008,2001,2021,2007
18,2009,2014,1999,1999
19,2003,2006,2003,2008
20,2007,2003,2019,2017
21,2014,2015,2023,2000
22,1999,2006,2021,2021
23,2015,2011,2019,2007
24,2020,1998,2003,2017
25,2007,2010,2008,2001
26,2006,2002,2002,2004
27,2015,2003,2007,2013
28,2018,2018,2023,2007
29,1999,2011,2017,2005
30,2014,2021,1999,2007
31,2012,2020,2011,2014
32,2015,2012,2008,2000
33,2003,2006,2001,2023
34,1999,2011,2011,1998
35,2023,2011,2020,2017
36,2000,2005,2005,2011
37,2014,2012,2007,2009
38,2012,2017,2011,2000
39,2007,2007,2014,2015
40,2018,2007,2000,2008
41,2000,2010,2006,2014
42,2003,2003,2009,2014
43,2018,1999,2003,2004
44,2007,1999,2003,2004
45,2000,2003,2000,2007
46,2012,2009,2019,2003
47,2018,2014,2018,2005
48,2004,2010,2023,2019
49,2015,1999,2020,2019
50,2005,2001,2021,2022
51,2019,2021,2001,2007
52,2004,2003,2010,2021
53,2005,2010,2017,2019
54,2010,2012,2019,1999
55,2007,2007,2014,2009
56,1998,1998,2020,2014
57,2007,2009,2001,2004
58,2003,1998,2005,2009
59,1998,2023,2014,2012
60,2000,2019,2004,1999
61,1998,1999,2023,2011
62,2000,1999,1999,1999
63,2007,2009,2006,2005
64,1999,2005,2010,2009
65,2003,2007,2010,2007
66,2001,2007,2004,2003
67,2022,2009,2007,2010
68,2021,2003,2006,1999
69,2012,2004,2008,2008
70,1999,2012,2017,2000
71,2007,2007,2004,2011
72,2003,2004,2007,2000
73,2022,2022,2018,2023
74,2005,2006,2020,2006
75,2012,2023,2011,2008
76,2012,2010,1999,2001
77,2003,2014,2012,2013
78,2000,2020,2007,2001
79,2007,2000,1999,2009
80,2014,2023,2014,2003
81,2015,2015,2004,2007
82,2021,2020,2003,2023
83,1999,2021,1999,2020
84,2018,2002,2019,2015
85,2014,2007,2003,2021
86,2006,2001,2007,1998
87,2007,2003,2007,2003
88,1999,2018,2014,2020
89,2004,1999,2019,2001
90,2014,2015,2003,2006
91,2015,2014,2007,1999
92,2019,2023,2003,1999
93,2004,2007,2018,1999
94,2021,2003,2014,2018
95,2018,2018,2000,2004
96,2012,1999,2003,2001
97,2012,2019,2021,2019
98,2006,2003,2018,2014
99,2000,1999,1999,2007
0,2003,2000,2003,2021
1,2000,2022,2005,2020
2,2012,2019,2014,1999
3,2007,2018,2007,2012
4,1998,2006,2009,2012
5,1998,2007,2008,2022
6,2021,2021,2003,2000
7,2000,1998,2005,2019
8,2017,2005,2000,2019
9,1999,2010,2017,2006
10,2000,2019,2017,2019
11,2012,2019,2005,2002
12,2000,2012,2004,2005
13,2018,1998,2010,2009
14,1999,2012,1998,2014
15,2017,2004,1999,2007
16,2004,2020,2000,2015
17,2018,2014,2007,2020
18,2006,2004,2007,2007
19,1999,2003,2012,2021
20,1999,2007,2011,2011
21,2022,2021,1998,2000
22,1998,2018,2015,2008
23,2004,2023,2019,2000
24,2015,2019,2005,2017
25,2020,2015,2003,2010
26,2006,2013,2005,2021
27,2014,2012,2015,2018
28,2004,2018,1998,2020
29,2003,1999,2006,2000
30,2012,2021,2019,2004
31,2004,2012,2005,1999
32,2007,2003,2018,2011
33,1999,2019,2005,2003
34,1998,2012,2005,2010
35,1999,1999,2003,2006
36,1999,2006,2020,2023
37,2004,2019,1999,2014
38,2015,2006,2004,2012
39,1999,2020,2018,2004
40,1998,2003,2017,2000
41,2006,2020,2003,2010
42,2004,2018,2006,2007
43,1999,2019,2007,2003
44,2022,2019,1999,2001
45,2011,2007,2011,2014
46,2003,1999,2022,2022
47,2019,2014,2023,2014
48,2007,2020,2000,2018
49,2001,2012,2007,2012
50,2018,2019,2010,2017
51,2019,2021,2004,2004
52,2019,2023,2018,2020
53,2019,2003,2017,2011
54,2006,2019,1999,2003
55,1999,2021,2014,2000
56,2023,2023,2000,2021
57,1999,2001,2000,2005
58,2012,2000,2012,2019
59,2004,2005,2018,2012
60,2006,2019,2022,2003
61,1998,1999,2011,2011
62,2000,2004,2022,2013
63,2012,2015,2006,2007
64,1999,2000,2010,2009
65,2006,1999,2007,2001
66,2003,1999,2015,2007
67,1999,2021,1999,1998
68,2008,1999,2017,1999
69,2019,2008,2003,2019
70,2019,2014,2011,2000
71,2003,2003,2010,2019
72,2006,2007,2007,1999
73,2011,2021,2006,2022
74,2003,2019,2007,1998
75,2000,2006,2023,2007
76,2003,2011,2007,2007
77,1999,2014,2022,2009
78,1999,2018,2004,2002
79,2020,2003,2004,2001
80,2001,2009,2018,2022
81,2015,2020,2005,2010
82,2014,2012,1999,1998
83,1999,2021,2019,2012
84,1998,2011,2012,2004
85,2022,2019,2007,2021
86,2003,2014,2014,2003
87,2005,2022,1999,2012
88,2019,2018,2021,2004
89,2010,1999,1999,2001
90,2021,2007,2004,1998
91,2009,2020,2010,2003
92,2017,2019,2004,1999
93,2015,2014,2015,2007
94,2018,2022,2000,2014
95,2023,2004,2001,1998
96,2019,2007,2020,2000
97,2022,2019,2000,2006
98,2017,2004,2003,2014
99,2018,2000,2005,2019
0,2012,2004,2002,2014
1,2004,2004,2004,2018
2,2012,2003,2014,2003
3,2014,2019,2015,2003
4,1998,2017,2004,2020
5,2000,2011,1999,2023
6,2021,2021,2005,1998
7,2005,1999,2003,2005
8,2004,2001,2015,2012
9,2003,2003,2017,2006
10,2018,2019,2017,2019
11,2007,2004,2023,1999
12,2005,2012,2023,2020
13,2012,2023,1999,2012
14,2007,2007,1998,2015
15,2019,2020,2009,2023
16,1999,2000,2021,2010
17,2012,2013,2007,2003
18,2011,2018,2022,2018
19,2003,2006,2003,2007
20,2010,2003,2003,2023
21,2018,2014,2023,1999
22,2006,1998,2020,2001
23,2010,2019,1999,2004
24,2007,2019,2000,2017
25,2020,2015,1999,2020
26,2017,2019,2004,2020
27,2014,2003,2007,2002
28,2004,2010,1998,1999
29,2022,2010,2003,2003
30,2008,2015,2019,2018
31,2019,2004,2004,2007
32,2012,1999,2004,2011
33,2005,1998,2008,2023
34,1999,2011,1999,2003
35,1998,2023,2007,2000
36,2005,2006,2001,2019
37,2014,1999,2010,2007
38,2007,2017,2011,2004
39,2007,2007,2010,2005
40,2004,2007,2003,2020
41,1998,2015,2003,2013
42,2003,2003,2018,2015
43,2000,2019,2019,2020
44,2002,2023,2019,2003
45,2004,2003,2004,2007
46,1999,1999,2019,2018
47,2020,2014,2022,2009
48,2004,2010,2023,2019
49,2005,2022,1999,2018
50,2000,2007,2021,2004
51,2019,2021,2001,2012
52,2018,2000,2014,2007
53,2023,2012,2017,2003
54,2006,2019,1999,2003
55,1999,2014,2012,2015
56,1998,2011,2008,2021
57,2003,2010,2015,2015
58,2004,2019,2000,1999
59,1999,1998,2001,2012
60,1999,2004,2008,2002
61,2005,1999,2011,2018
62,2003,2010,2018,2009
63,2021,2018,2003,2005
64,1999,2020,2012,2010
65,2005,2012,2009,2007
66,2012,2018,2000,2013
67,1999,2014,1999,1998
68,2021,2018,2017,2019
69,1999,2015,2004,2003
70,1999,2012,2017,2000
71,2007,2007,2015,2018
72,2006,2000,2003,2015
73,2018,2005,2004,2002
74,1999,2004,2002,2006
75,2000,2006,2023,2007
76,2003,2019,2003,2014
77,1999,2021,2007,2019
78,2019,2018,2004,2022
79,2007,2003,2003,2012
80,2004,2011,2018,2007
81,2014,2005,1998,2011
82,2012,2005,2014,2017
83,2017,2020,2007,2014
84,1998,2011,2019,2021
85,2001,2010,2012,2018
86,2006,2009,2004,2006
87,2010,2003,2003,2003
88,2019,2010,2014,2020
89,2023,2017,2017,2009
90,2021,2018,2018,2006
91,2010,2007,2004,1999
92,2017,2009,2007,1999
93,2010,2007,2018,2005
94,2012,2005,2001,2002
95,2019,2018,2005,2006
96,2012,1999,1999,2003
97,2005,2007,2021,2003
98,2017,2012,2003,2018
99,2002,2011,1998,2015
0,2007,2010,2007,2012
1,2004,2007,2003,2010
2,2004,2000,2022,2006
3,2004,2012,2004,2008
4,1998,1998,2006,2008
5,2006,2018,2012,2019
6,2014,2015,2001,2019
7,2020,2006,1999,2010
8,2011,2007,2022,2010
9,2018,1999,2019,2019
10,1998,2020,1999,2007
11,2003,2009,2019,2004
12,2003,2018,1998,2003
13,2018,1999,2011,2001
14,2004,2012,2023,2014
15,2000,2014,2007,2003
16,2019,2010,2007,2021
17,2015,2004,2014,1999
18,2004,2008,2019,2011
19,1999,2019,2022,2021
20,2009,2003,2023,2017
21,2021,2007,2023,1999
22,2006,2004,2021,2021
23,2007,2004,2010,2007
24,2021,2022,2012,2019
25,1999,2004,2008,2001
26,2017,2019,1999,2020
27,2012,2013,2010,2015
28,1998,2023,2010,2007
