Year,Month,Day,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
2024,10,1,1,1852.000159912814,5214.623126590987,797.998731144821,1060.3762349780477,138.41420847470314,11.978261297331128,11.966174369169332,165.8489163391474,240.64226847493387,655.4015423568053,116.8683380328356,234.85156793145,45.02667722804816,51.463989851079134,308.9551120115908
2024,10,2,1,1852.000159912814,6977.3788304599375,1163.8681651893253,443.1093794001198,138.41420847470314,187.239085819045,187.05014809902053,338.0766689742726,240.64226847493387,655.4015423568053,209.31645779786,207.01732760301687,48.77889346052945,7.050719727490369,321.39627396507234
2024,10,3,1,2556.0340279649995,7322.095513774509,113.99981873498496,445.3139215861676,138.41420847470314,632.641110578427,632.0027301435751,333.82412766623673,133.46546126298313,655.4015423568053,211.06073445773612,273.1236914683443,48.77889346052945,14.10143945498723,315.17569298831046
2024,10,4,1,1975.2060623063528,5365.044931852318,113.99981873498496,846.5373646682564,138.41420847470314,56.739107925085406,56.68185407960387,446.5163506576609,499.48434149588354,655.4015423568053,495.3822387289653,260.9461993565861,43.15054850224507,4.702173321365279,304.8080580270829
2024,10,5,1,2923.6961150020666,6557.451244515673,113.99981873498496,846.5373646682564,138.41420847470314,56.739107925085406,56.68185407960387,363.5919168219679,97.06576669879352,655.4015423568053,191.8733845062048,281.8218891774432,45.02667722804816,1.1728409318807649,342.13149835052
2024,10,6,1,1513.6727587537853,7063.55799312581,113.99981873498496,914.8775985235864,138.41420847470314,8.156243320843497,8.148013084030154,51.03044702770965,258.84207302081234,655.4015423568053,177.9189795440446,302.69757899830034,46.90280595385124,1.1728409318807649,323.4697554203188
2024,10,7,1,1513.6727587537853,8821.613042110426,113.99981873498496,791.4242274080007,138.41420847470314,8.156243320843497,8.148013084030154,63.78807095158023,315.4638058753169,655.4015423568053,390.72402899830814,219.1947814168392,43.15054850224507,2.35108666068264,354.57266030400154
2024,10,8,1,1793.330660249433,5302.369174217655,113.99981873498496,782.6061630113495,138.41420847470314,8.156243320843497,8.148013084030154,63.78807095158023,8.762884683654232,655.4015423568053,169.19744289816416,193.10018828983243,45.02667722804816,2.35108666068264,252.9699742949599
2024,10,9,1,2028.0086162668283,7098.029658191898,113.99981873498496,480.58633569359546,138.41420847470314,8.156243320843497,8.148013084030154,3.1877391097537657,8.762884683654232,655.4015423568053,141.28859463729808,163.52626246194038,45.02667722804816,4.702173321365279,325.5432824125306
2024,10,10,1,2029.9642790465064,5761.469112765375,314.0139323306446,718.6749613544426,138.41420847470314,0.2364816409651486,0.2362430139611972,3.1877391097537657,8.762884683654232,655.4015423568053,172.6860728911135,367.06429566220135,39.39833226976378,2.35108666068264,393.969582082643
2024,10,11,1,2831.780603901652,6088.949963546253,1135.0595420640234,1106.6712556679795,138.41420847470314,0.2364816409651486,0.2362430139611972,274.28864669038376,103.1323824594918,655.4015423568053,174.43034955109522,196.5794443946524,46.90280595385124,14.10143945498723,302.73453103482893
2024,10,12,1,1740.528148924726,7273.521786098265,422.5263895388901,870.7871200195074,138.41420847470314,0.2364816409651486,0.2362430139611972,267.9098103945792,103.1323824594918,655.4015423568053,228.50376941284568,280.0822419760169,46.90280595385124,11.751217561814627,377.3814116817032
2024,10,13,1,1955.649605054448,5054.799946256219,422.5263895388901,972.1952257962172,138.41420847470314,0.2364816409651486,0.2362430139611972,270.0361053824345,103.1323824594918,655.4015423568053,511.08095868754737,36.532476335478165,43.15054850224507,11.751217561814627,335.9109173737582
2024,10,14,1,1955.649605054448,4920.047055914105,422.5263895388901,817.8785249451046,138.41420847470314,0.2364816409651486,0.2362430139611972,89.30327013149754,230.53122796165687,655.4015423568053,163.96453624533868,340.9697025350979,43.15054850224507,14.10143945498723,327.61680940478453
2024,10,15,1,2872.8492238209083,5488.829562158903,688.525983180358,895.0368753707584,138.41420847470314,0.2364816409651486,0.2362430139611972,389.1071160019019,594.5279171864894,655.4015423568053,163.96453624533868,121.7748828202261,41.274460995566855,2.35108666068264,325.5432824125306
2024,10,16,1,6915.176944805926,7358.134063802043,2051.1736379785166,1865.0276111546004,138.41420847470314,99.2934282738945,99.19323405499294,389.1071160019019,2717.8418949280726,655.4015423568053,1714.6504855999526,779.3592653689697,56.2833671446169,14.10143945498723,242.60233933373232
2024,10,17,1,2319.4004091679262,8957.932817413337,518.5551166968262,2535.203009633258,138.41420847470314,209.9347120370213,209.7228727959101,276.41489301047767,4642.979871783318,655.4015423568053,2124.5618645498976,875.039555062189,170.72614772147267,35.25359863747131,377.3814116817032
2024,10,18,1,11065.065351219677,20429.1635453456,7493.121640366317,2982.7214734054737,138.41420847470314,209.9347120370213,209.7228727959101,1545.797135071875,6100.988819690524,655.4015423568053,3237.4275866937005,1546.541076924117,174.47840517305596,70.50719727494914,688.410050685548
2024,10,19,1,10061.817124419938,16035.5928731493,6470.415668755826,4259.141068705493,138.41420847470314,2714.966511285171,2712.226914580022,1966.7982865496888,5993.81201247849,655.4015423568053,4761.949002783976,3705.435862352604,1003.7197588788304,131.61345292922877,792.0862636868014
2024,10,20,1,3453.677189479556,10524.826790920632,3209.280058631285,2308.136990554915,138.41420847470314,726.2606322978149,725.5277830243332,601.7339867286639,2754.241546756024,655.4015423568053,1651.8555674288675,1565.677119543548,545.9485129141243,199.7704283109988,661.4542453233383
2024,10,21,1,3168.152342281002,8838.848874643469,3436.868171365421,1554.1896672667172,138.41420847470314,397.1737978560664,396.77302089493065,731.4363262842103,2086.914325913496,655.4015423568053,636.670833366369,1075.098293859694,281.41675328492624,112.8115696878834,613.7631700387159
2024,10,22,1,7200.701792004119,12784.287868326932,3799.856782920668,2365.4546700012183,138.41420847470314,48.22822690327754,48.17956114958584,759.0778204519995,2014.1149795212625,655.4015423568053,861.6860111229166,1033.34691421798,236.3900760568781,72.85747321609429,414.7048520050982
2024,10,23,1,5972.553837813118,7961.38823511293,1895.6070830577287,2846.040953521336,138.41420847470314,411.3585430521733,410.9434526617407,869.6437971233298,3037.35008281969,655.4015423568053,1873.382153529012,1017.6901277032722,223.2572986336083,68.15697538177004,503.8663760606584
2024,10,24,1,2258.775289360996,8942.263869842385,3431.106426828677,1933.3678450099303,138.41420847470314,258.1629813205064,257.9024762829388,1063.1342076304395,2740.086124226446,655.4015423568053,1611.736590865823,1186.4353317694918,230.76173109859377,77.55791700243951,493.49874109943073
2024,10,25,1,12703.899717782446,14697.465410109598,6899.664093587677,3952.712209189316,138.41420847470314,1234.075671536789,1232.8304003227263,3019.301165244136,5249.6410204912345,655.4015423568053,2126.306179546425,1614.387087990871,283.2928820107294,110.4612937467382,673.8953617398124
